TIME + ID,,,,INPUTS,,,,,,OUTPUTS,,,,,
LineNr,ID,Time scheduled [hh::mm],,Rotor speed [% rpm],Side slip [deg],V_inflow [m/s],AOA [deg],Shell [-],,Time measured  [hh::mm],Rotor speed [rpm],Side slip [deg],V_inflow [m/s],AOA [deg],Defl. Angle [deg]
317,20-7.5-10-10-C,13:44,,20,7.5,10,10,C,,,,,,,
318,20-7.5-10-12-C,13:44,,20,7.5,10,12,C,,,,,,,
319,20-7.5-10-16-C,13:45,,20,7.5,10,16,C,,,,,,,
320,20-7.5-10-20-C,13:45,,20,7.5,10,20,C,,,,,,,
321,30-7.5-10-0-C,13:46,,30,7.5,10,0,C,,,,,,,
322,30-7.5-10-4-C,13:46,,30,7.5,10,4,C,,,,,,,
323,30-7.5-10-6-C,13:47,,30,7.5,10,6,C,,,,,,,
324,30-7.5-10-8-C,13:47,,30,7.5,10,8,C,,,,,,,
325,30-7.5-10-10-C,13:48,,30,7.5,10,10,C,,,,,,,
326,30-7.5-10-12-C,13:48,,30,7.5,10,12,C,,,,,,,
327,30-7.5-10-16-C,13:49,,30,7.5,10,16,C,,,,,,,
328,30-7.5-10-20-C,13:49,,30,7.5,10,20,C,,,,,,,
329,40-7.5-10-0-C,13:50,,40,7.5,10,0,C,,,,,,,
330,40-7.5-10-4-C,13:50,,40,7.5,10,4,C,,,,,,,
331,40-7.5-10-6-C,13:51,,40,7.5,10,6,C,,,,,,,
332,40-7.5-10-8-C,13:51,,40,7.5,10,8,C,,,,,,,
333,40-7.5-10-10-C,13:52,,40,7.5,10,10,C,,,,,,,
334,40-7.5-10-12-C,13:52,,40,7.5,10,12,C,,,,,,,
335,40-7.5-10-16-C,13:53,,40,7.5,10,16,C,,,,,,,
336,40-7.5-10-20-C,13:53,,40,7.5,10,20,C,,,,,,,
337,20-7.5-15-0-C,13:54,,20,7.5,15,0,C,,,,,,,
338,20-7.5-15-4-C,13:54,,20,7.5,15,4,C,,,,,,,
339,20-7.5-15-6-C,13:55,,20,7.5,15,6,C,,,,,,,
340,20-7.5-15-8-C,13:55,,20,7.5,15,8,C,,,,,,,
341,20-7.5-15-10-C,13:56,,20,7.5,15,10,C,,,,,,,
342,20-7.5-15-12-C,13:56,,20,7.5,15,12,C,,,,,,,
343,20-7.5-15-16-C,13:57,,20,7.5,15,16,C,,,,,,,
344,20-7.5-15-20-C,13:57,,20,7.5,15,20,C,,,,,,,
345,30-7.5-15-0-C,13:58,,30,7.5,15,0,C,,,,,,,
346,30-7.5-15-4-C,13:58,,30,7.5,15,4,C,,,,,,,
347,30-7.5-15-6-C,13:59,,30,7.5,15,6,C,,,,,,,
348,30-7.5-15-8-C,13:59,,30,7.5,15,8,C,,,,,,,
349,30-7.5-15-10-C,14:00,,30,7.5,15,10,C,,,,,,,
350,30-7.5-15-12-C,14:00,,30,7.5,15,12,C,,,,,,,
351,30-7.5-15-16-C,14:01,,30,7.5,15,16,C,,,,,,,
352,30-7.5-15-20-C,14:01,,30,7.5,15,20,C,,,,,,,
353,40-7.5-15-0-C,14:02,,40,7.5,15,0,C,,,,,,,
354,40-7.5-15-4-C,14:02,,40,7.5,15,4,C,,,,,,,
355,40-7.5-15-6-C,14:03,,40,7.5,15,6,C,,,,,,,
356,40-7.5-15-8-C,14:03,,40,7.5,15,8,C,,,,,,,
357,40-7.5-15-10-C,14:04,,40,7.5,15,10,C,,,,,,,
358,40-7.5-15-12-C,14:04,,40,7.5,15,12,C,,,,,,,
359,40-7.5-15-16-C,14:05,,40,7.5,15,16,C,,,,,,,
360,40-7.5-15-20-C,14:05,,40,7.5,15,20,C,,,,,,,
361,20-7.5-20-0-C,14:06,,20,7.5,20,0,C,,,,,,,
362,20-7.5-20-4-C,14:06,,20,7.5,20,4,C,,,,,,,
363,20-7.5-20-6-C,14:07,,20,7.5,20,6,C,,,,,,,
364,20-7.5-20-8-C,14:07,,20,7.5,20,8,C,,,,,,,
365,20-7.5-20-10-C,14:08,,20,7.5,20,10,C,,,,,,,
366,20-7.5-20-12-C,14:08,,20,7.5,20,12,C,,,,,,,
367,20-7.5-20-16-C,14:09,,20,7.5,20,16,C,,,,,,,
368,20-7.5-20-20-C,14:09,,20,7.5,20,20,C,,,,,,,
