t1550845693.32 U20.846056225 I-71.9873 T_a14.5 T_p17.6834358951 R0.407144818947, 
t1550845693.42 U20.8150312181 I-71.9838 T_a14.5 T_p17.6834358951 R0.407144818947, 
t1550845693.53 U20.8305812318 I-71.9908 T_a14.5 T_p17.6834358951 R0.407144818947, 
t1550845693.64 U20.848156225 I-71.9873 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845693.75 U20.8474969669 I-72.0014 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845693.86 U20.815356225 I-71.9873 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845693.96 U20.817556225 I-71.9873 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845694.07 U20.834456225 I-71.9873 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845694.18 U20.8357654968 I-71.9802 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845694.29 U20.8373062387 I-71.9943 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845694.4 U20.818556225 I-71.9873 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845694.51 U20.8299062387 I-71.9943 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845694.62 U20.8146654968 I-71.9802 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845694.72 U20.8368812318 I-71.9908 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845694.83 U20.8415062387 I-71.9943 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845694.94 U20.835456225 I-71.9873 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845695.05 U20.8161312181 I-71.9838 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845695.16 U20.8431812318 I-71.9908 T_a14.5 T_p17.9449898562 R0.407144818947, 
t1550845695.26 U20.828056225 I-71.9873 T_a14.5 T_p18.2440826715 R0.407144818947, 
t1550845695.37 U20.8203312181 I-71.9838 T_a14.5 T_p18.2440826715 R0.407144818947, 
t1550845695.48 U20.8204062387 I-71.9943 T_a14.5 T_p18.2440826715 R0.407144818947, 
